id,name,deadline_time,average_entry_score,highest_score,finished,data_checked,is_previous,is_current,is_next
1,Round 1,2026-04-04T12:55:00Z,60,129,True,True,False,False,False
2,Round 2,2026-04-11T12:55:00Z,44,98,True,True,False,False,False
3,Round 3,2026-04-17T16:55:00Z,69,140,True,True,False,False,False
4,Round 4,2026-04-22T16:55:00Z,42,98,True,True,False,False,False
5,Round 5,2026-04-26T11:55:00Z,47,92,True,True,False,False,False
6,Round 6,2026-05-02T12:55:00Z,54,113,True,True,False,False,False
7,Round 7,2026-05-08T16:55:00Z,65,130,True,True,False,False,False
8,Round 8,2026-05-16T12:55:00Z,78,164,True,True,False,False,False
9,Round 9,2026-05-22T16:55:00Z,40,85,True,True,False,False,False
10,Round 10,2026-05-29T16:55:00Z,51,130,True,True,False,False,False
11,Round 11,2026-07-03T16:55:00Z,61,144,True,True,False,False,False
12,Round 12,2026-07-11T12:55:00Z,61,138,True,True,True,False,False
13,Round 13,2026-07-17T16:55:00Z,60,119,True,True,False,True,False
14,Round 14,2026-07-24T16:55:00Z,0,,False,False,False,False,True
15,Round 15,2026-08-01T12:55:00Z,0,,False,False,False,False,False
16,Round 16,2026-08-08T12:55:00Z,0,,False,False,False,False,False
17,Round 17,2026-08-14T16:55:00Z,0,,False,False,False,False,False
18,Round 18,2026-08-21T16:55:00Z,0,,False,False,False,False,False
19,Round 19,2026-08-29T12:55:00Z,0,,False,False,False,False,False
20,Round 20,2026-09-05T12:55:00Z,0,,False,False,False,False,False
21,Round 21,2026-09-11T16:55:00Z,0,,False,False,False,False,False
22,Round 22,2026-09-19T12:55:00Z,0,,False,False,False,False,False
23,Round 23,2026-10-09T16:55:00Z,0,,False,False,False,False,False
24,Round 24,2026-10-17T22:55:00Z,0,,False,False,False,False,False
25,Round 25,2026-10-24T22:55:00Z,0,,False,False,False,False,False
26,Round 26,2026-10-27T23:55:00Z,0,,False,False,False,False,False
27,Round 27,2026-10-31T23:55:00Z,0,,False,False,False,False,False
28,Round 28,2026-11-07T23:55:00Z,0,,False,False,False,False,False
29,Round 29,2026-11-21T23:55:00Z,0,,False,False,False,False,False
30,Round 30,2026-11-28T23:55:00Z,0,,False,False,False,False,False
